Date,Close?,,,,,,,
07/07/2020,45.21,,,,,,,
07/06/2020,45.23,,,,,,,
07/02/2020,44.88,,,,,,,
07/01/2020,44.82,,,,,,,
06/30/2020,44.68,,,,,,,
06/29/2020,44.36,,,,,,,
06/26/2020,43.57,,,,,,,
06/25/2020,44.93,,,,,,,
06/24/2020,44.65,,,,,,,
06/23/2020,45.64,,,,,,,
06/22/2020,45.74,,,,,,,
06/19/2020,46.02,,,,,,,
06/18/2020,46.99,,,,,,,
06/17/2020,46.58,,,,,,,
06/16/2020,46.77,,,,,,,
06/15/2020,46.3,,,,,,,
06/12/2020,45.6,,,,,,,
06/11/2020,45.54,,,,,,,
06/10/2020,48.62,,,,,,,
06/09/2020,49,,,,,,,
06/08/2020,49.85,,,,,,,
06/05/2020,49.09,,,,,,,
06/04/2020,47.92,,,,,,,
06/03/2020,47.9,,,,,,,
06/02/2020,46.9,,,,,,,
06/01/2020,46.99,,,,,,,
05/29/2020,46.68,,,,,,,
05/28/2020,47.09,,,,,,,
05/27/2020,46.73,,,,,,,
05/26/2020,46.09,,,,,,,
05/22/2020,45.03,,,,,,,
05/21/2020,45.17,,,,,,,
05/20/2020,45.89,,,,,,,
05/19/2020,44.54,,,,,,,
05/18/2020,44.97,,,,,,,
05/15/2020,43.26,,,,,,,
05/14/2020,43.7,,,,,,,
05/13/2020,43.94,,,,,,,
05/12/2020,44.82,,,,,,,
05/11/2020,45.54,,,,,,,
05/08/2020,46.11,,,,,,,
05/07/2020,44.6,,,,,,,
05/06/2020,44.75,,,,,,,
05/05/2020,45.4,,,,,,,
05/04/2020,45.14,,,,,,,
05/01/2020,45.6,,,,,,,
04/30/2020,45.89,,,,,,,
04/29/2020,47.12,,,,,,,
04/28/2020,46.74,,,,,,,
04/27/2020,46.78,,,,,,,
04/24/2020,45.43,,,,,,,
04/23/2020,45.07,,,,,,,
04/22/2020,45.68,,,,,,,
04/21/2020,45.38,,,,,,,
04/20/2020,46.53,,,,,,,
04/17/2020,48.06,,,,,,,
04/16/2020,47.1,,,,,,,
04/15/2020,47.61,,,,,,,
04/14/2020,48.92,,,,,,,
04/13/2020,46.93,,,,,,,
04/09/2020,49,,,,,,,
04/08/2020,47.82,,,,,,,
04/07/2020,46.51,,,,,,,
04/06/2020,46.67,,,,,,,
04/03/2020,43.83,,,,,,,
04/02/2020,43.95,,,,,,,
04/01/2020,42.12,,,,,,,
03/31/2020,44.25,,,,,,,
03/30/2020,45,,,,,,,
03/27/2020,42.81,,,,,,,
03/26/2020,44.29,,,,,,,
03/25/2020,41.61,,,,,,,
03/24/2020,39.45,,,,,,,
03/23/2020,37.56,,,,,,,
03/20/2020,38.3,,,,,,,
03/19/2020,41.83,,,,,,,
03/18/2020,44.85,,,,,,,
03/17/2020,47.18,,,,,,,
03/16/2020,45.26,,,,,,,
03/13/2020,48.47,,,,,,,
03/12/2020,47.16,,,,,,,
03/11/2020,52.21,,,,,,,
03/10/2020,53.66,,,,,,,
03/09/2020,51.86,,,,,,,
03/06/2020,55.26,,,,,,,
03/05/2020,56.74,,,,,,,
03/04/2020,58.92,,,,,,,
03/03/2020,56.06,,,,,,,
03/02/2020,55.92,,,,,,,
02/28/2020,53.49,,,,,,,
02/27/2020,54.93,,,,,,,
02/26/2020,57.6,,,,,,,
02/25/2020,57.82,,,,,,,
02/24/2020,58.65,,,,,,,
02/21/2020,60.13,,,,,,,
02/20/2020,59.72,,,,,,,
02/19/2020,59.77,,,,,,,
02/18/2020,59.53,,,,,,,
02/14/2020,59.95,,,,,,,
02/13/2020,59.61,,,,,,,
02/12/2020,59.41,,,,,,,
02/11/2020,59.59,,,,,,,
02/10/2020,59.75,,,,,,,
02/07/2020,59.19,,,,,,,
02/06/2020,58.99,,,,,,,
02/05/2020,58.85,,,,,,,
02/04/2020,58.84,,,,,,,
02/03/2020,58.58,,,,,,,
01/31/2020,58.4,,,,,,,
01/30/2020,58.86,,,,,,,
01/29/2020,57.01,,,,,,,
01/28/2020,57.01,,,,,,,
01/27/2020,57.48,,,,,,,
01/24/2020,57.68,,,,,,,
01/23/2020,57.83,,,,,,,
01/22/2020,57.61,,,,,,,
01/21/2020,57.17,,,,,,,
01/17/2020,56.94,,,,,,,
01/16/2020,56.82,,,,,,,
01/15/2020,56.7,,,,,,,
01/14/2020,56,,,,,,,
01/13/2020,56.13,,,,,,,
01/10/2020,55.53,,,,,,,
01/09/2020,55.34,,,,,,,
01/08/2020,54.35,,,,,,,
01/07/2020,54.25,,,,,,,
01/06/2020,54.67,,,,,,,
01/03/2020,54.69,,,,,,,
01/02/2020,54.99,,,,,,,
